country_id,month_id,country,gwcode,isoab,year,month,surrogate_mean_dem_ln,surrogate_mean_imr,surrogate_mean_pop_ln,surrogate_mean_imr_ln,surrogate_mean_pop,main_mean,main_dich,surrogate_mean_dem,surrogate_mean_nch_ln,surrogate_mean_ch,main_mean_ln,surrogate_mean_ch_ln,surrogate_mean_nch
128,548,Iran,630,IRN,2025,8,1.0947,0.289,1.8184,0.2538,5.1618,16.8359,0.3693,1.9884,2.0988,12.1631,2.8812,2.5774,7.1564
129,548,Kuwait,690,KWT,2025,8,1.2024,0.198,0.2249,0.1807,0.2521,0.0078,0.0031,2.3281,0.987,0.073,0.0078,0.0705,1.6831
130,548,Qatar,694,QAT,2025,8,1.0192,0.1295,0.1639,0.1218,0.1781,0.006,0.0031,1.7711,0.2856,0.073,0.006,0.0705,0.3306
131,548,Saudi Arabia,670,SAU,2025,8,0.7615,0.1295,0.9743,0.1218,1.6493,0.5958,0.007,1.1414,1.0981,0.073,0.4674,0.0705,1.9984
132,548,United Arab Emirates,696,ARE,2025,8,1.0057,0.1087,0.3887,0.1032,0.4751,0.0038,0.0031,1.7339,0.2856,0.073,0.0038,0.0705,0.3306
133,548,Afghanistan,700,AFG,2025,8,0.4501,3.6306,1.1227,1.5327,2.0733,12.7131,0.2648,0.5684,1.7698,3.034,2.6184,1.3948,4.8698
134,548,Kyrgyzstan,703,KGZ,2025,8,1.3687,0.4359,0.2884,0.3618,0.3343,0.0153,0.0031,2.9303,0.2889,0.073,0.0152,0.0705,0.3349
135,548,Nepal,790,NPL,2025,8,0.1619,0.8292,0.8517,0.6039,1.3435,0.0063,0.0031,0.1758,0.3459,0.073,0.0062,0.0705,0.4132
136,548,Pakistan,770,PAK,2025,8,1.3654,3.5807,1.6474,1.5219,4.1935,260.9517,0.9866,2.9171,1.8375,178.2275,5.5682,5.1887,5.2805
137,548,Tajikistan,702,TJK,2025,8,0.788,0.8069,0.381,0.5916,0.4637,0.4022,0.0055,1.199,0.5989,0.073,0.338,0.0705,0.8201
138,548,Bangladesh,771,BGD,2025,8,0.9341,0.8924,2.0714,0.6378,6.9357,1.071,0.0112,1.545,1.0549,1.7738,0.728,1.0202,1.8717
139,548,Bhutan,760,BTN,2025,8,0.2978,0.5865,0.1033,0.4616,0.1088,0.005,0.0031,0.3469,0.3459,0.073,0.005,0.0705,0.4132
140,548,Brunei,835,BRN,2025,8,0.2622,0.2146,0.0935,0.1944,0.0981,0.0024,0.003,0.2998,0.097,0.073,0.0024,0.0705,0.1019
142,548,Japan,740,JPN,2025,8,0.068,0.062,2.0349,0.0601,6.6515,0.0013,0.003,0.0704,0.0993,0.073,0.0013,0.0705,0.1044
143,548,North Korea,731,PRK,2025,8,0.4276,0.4206,0.7799,0.3511,1.1813,0.0066,0.0031,0.5336,0.3459,0.073,0.0065,0.0705,0.4132
144,548,Palau,986,PLW,2025,8,0.2622,0.6141,0.0803,0.4788,0.0836,0.0022,0.003,0.2998,0.0993,0.073,0.0022,0.0705,0.1044
145,548,Philippines,840,PHL,2025,8,1.0099,0.7636,1.9966,0.5674,6.3642,13.0245,0.273,1.7452,0.0993,13.8447,2.6408,2.6976,0.1044
146,548,South Korea,732,KOR,2025,8,0.1285,0.0721,1.2898,0.0696,2.6321,0.0022,0.003,0.1371,0.0993,0.073,0.0022,0.0705,0.1044
147,548,Cambodia,811,KHM,2025,8,0.8392,0.6715,0.5655,0.5137,0.7603,0.81,0.0088,1.3145,1.0083,8.1,0.5933,2.2083,1.7408
148,548,Laos,812,LAO,2025,8,1.1504,1.6986,0.3036,0.9927,0.3547,0.515,0.0064,2.1593,1.0608,0.073,0.4154,0.0705,1.8886
149,548,Myanmar,775,MMR,2025,8,0.4501,1.5988,1.3367,0.9551,2.8065,193.9353,0.9776,0.5684,1.8444,167.1875,5.2727,5.1251,5.3242
150,548,Thailand,800,THA,2025,8,1.1028,0.209,1.5936,0.1898,3.9213,7.4693,0.1289,2.0126,1.049,28.5784,2.1364,3.387,1.8548
151,548,Vietnam,816,VNM,2025,8,1.25,0.4019,1.8994,0.3378,5.6821,0.0101,0.0031,2.4902,0.3338,0.073,0.01,0.0705,0.3962
152,548,Marshall Is.,983,MHL,2025,8,0.2622,0.8404,0.0809,0.61,0.0842,0.0051,0.0031,0.2998,0.0993,0.073,0.0051,0.0705,0.1044
153,548,Micronesia,987,FSM,2025,8,0.2622,0.6964,0.0831,0.5285,0.0867,0.0022,0.003,0.2998,0.0993,0.073,0.0022,0.0705,0.1044
154,548,Botswana,571,BWA,2025,8,0.233,1.9944,0.1541,1.0968,0.1666,0.002,0.003,0.2624,0.2725,0.073,0.002,0.0705,0.3133
155,548,Burundi,516,BDI,2025,8,0.9636,1.3804,0.473,0.8673,0.6048,0.5841,0.0069,1.6211,1.1887,0.073,0.46,0.0705,2.283
156,548,Rwanda,517,RWA,2025,8,1.0828,1.3025,0.4785,0.834,0.6136,0.3879,0.0054,1.953,1.4778,0.073,0.3278,0.0705,3.3833
157,548,Zambia,551,ZMB,2025,8,0.5613,1.3332,0.6568,0.8473,0.9286,0.0101,0.0031,0.7529,1.9028,0.073,0.01,0.0705,5.7049
